Views,Watch time (hours),Average view duration (Seconds),Average percentage viewed (%),Likes,Dislikes,Likes (vs. dislikes) (%),Comments added,Shares,Subscribers,Subscribers gained,Subscribers lost,Videos published,Estimated revenue (USD)
3188,81.0972,91,38.2,23,0,100,2,2,-1,1,2,0,0.389
3137,99.8263,114,37.62,27,5,84.38,5,1,-4,2,6,0,0.447
3127,103.6472,119,43.4,18,5,78.26,3,5,3,6,3,0,0.332
3111,92.713,107,36.93,25,1,96.15,3,3,1,5,4,0,0.176
3088,118.536,138,34.81,29,7,80.56,1,7,-1,5,6,0,1.098
3081,76.1158,88,42.23,29,4,87.88,0,0,-2,2,4,0,0.22
3078,77.2362,90,43.71,37,3,92.5,3,2,0,2,2,0,0.228
3078,85.524,100,39.5,20,1,95.24,2,3,0,2,2,0,0.252
3066,53.7614,63,49.63,28,2,93.33,2,3,2,4,2,0,0.133
3037,114.9966,136,33.6,25,8,75.76,6,9,2,5,3,0,0.667
3022,75.6507,90,35.6,27,4,87.1,3,1,-4,0,4,0,0.22
2990,75.7475,91,38.83,37,2,94.87,1,1,3,5,2,0,0.296
2988,85.4413,102,41.06,37,2,94.87,1,1,2,5,3,0,0.296
2976,213.5694,258,29.34,30,7,81.08,1,3,6,9,3,1,3.746
2974,91.9052,111,39.59,57,4,93.44,6,3,-3,7,10,1,0.67
2954,206.8328,252,32.86,51,6,89.47,17,0,11,19,8,8,3.957
2925,175.9534,216,41.24,15,10,60,15,1,-3,1,4,0,1.598
2893,220.1259,273,29.19,35,5,87.5,4,2,7,9,2,0,4.223
2892,177.5651,221,43.22,15,9,62.5,7,0,1,5,4,0,1.535
2871,88.7147,111,41.94,27,3,90,2,1,-2,3,5,0,0.294
2869,90.9917,114,41.78,25,0,100,4,2,6,7,1,0,0.44
2777,72.6222,94,39.63,31,1,96.88,3,0,2,7,5,0,0.344
2774,84.5652,109,29.07,39,4,90.7,11,1,-11,2,13,1,1.219
2757,104.4346,136,35.78,23,5,82.14,5,4,4,7,3,0,0.893
2756,107.6318,140,40.37,17,6,73.91,2,6,3,5,2,0,0.541
2755,127.4036,166,43.31,29,1,96.67,4,2,1,2,1,0,0.822
2719,104.8637,138,36.26,23,4,85.19,3,4,8,12,4,0,0.702
2711,109.7367,145,34.71,15,6,71.43,2,3,-1,2,3,0,0.587
2708,107.4622,142,31.45,25,4,86.21,3,2,15,15,0,0,0.895
2685,193.7436,259,29.57,28,6,82.35,6,3,14,17,3,1,3.377
2685,122.2482,163,40.01,16,8,66.67,0,4,5,6,1,0,1.368
2679,100.2701,134,37.84,25,3,89.29,5,2,6,10,4,0,0.491
2671,54.7408,73,46.41,28,3,90.32,5,0,1,5,4,0,0.15
2661,106.2872,143,33.08,21,5,80.77,1,2,4,6,2,0,0.75
2661,69.0327,93,40.09,30,1,96.77,3,0,4,6,2,0,0.421
2652,53.0263,71,46.79,28,2,93.33,3,0,-1,2,3,0,0.073
2642,95.3757,129,34.19,21,3,87.5,4,10,1,5,4,0,0.546
2597,102.4862,142,31.05,24,5,82.76,1,5,5,13,8,0,0.848
2589,47.4207,65,49.28,20,5,80,2,3,0,4,4,0,0.093
